application_id,customer_id,pincode,applied_amount,loan_type,loan_start_date,income,occupation,status,successful_payments,delayed_payments,total_payments,interest_rate,tenure_months,npa_flag
1454,1542,121001,537000.0,Home,2022-12-05,419646,Salaried,Approved,71,5,76,12.75,96,0
1455,4319,121001,529000.0,Gold,2021-06-13,737613,Self-Employed,Approved,53,24,77,16.78,36,0
1456,3522,121001,181000.0,Personal,2019-09-12,361808,Self-Employed,Rejected,34,17,51,11.49,24,0
1457,7704,121001,624000.0,Gold,2022-02-06,3203525,Business Owner,Ongoing,50,20,70,18.38,72,0
1458,938,121001,474000.0,Education,2019-08-11,317386,Student,Approved,83,1,84,18.16,12,0
1459,7947,121001,642000.0,MSME,2023-02-23,1066973,Business Owner,Closed,28,12,40,18.49,24,0
1460,11823,121001,486000.0,Personal,2024-06-21,352159,Salaried,Rejected,71,19,90,14.87,18,0
1461,7412,121001,508000.0,Home,2023-10-22,382596,Salaried,Approved,39,15,54,14.62,12,0
1462,1904,121001,262000.0,MSME,2021-12-01,401810,Salaried,Defaulted (NPA),47,2,49,10.75,12,1
1463,3891,121001,297000.0,Education,2022-06-30,3613823,Salaried,Approved,65,4,69,18.1,24,0
1464,5604,121001,466000.0,Asset,2022-01-11,1674998,Salaried,Defaulted (NPA),49,25,74,11.45,120,1
1465,1697,121001,267000.0,Personal,2021-02-08,2190803,Salaried,Inquired,53,27,80,17.47,18,0
1466,10393,121001,505000.0,MSME,2023-01-06,302731,Salaried,Inquired,14,3,17,8.01,48,0
1467,5424,121001,476000.0,Home,2019-01-23,979504,Business Owner,Closed,59,14,73,12.51,60,0
1468,11014,121001,475000.0,Home,2019-04-06,980724,Business Owner,Closed,59,38,97,14.71,18,0
1469,7791,121001,494000.0,Personal,2021-09-18,454648,Salaried,Approved,4,1,5,15.18,18,0
1470,2128,121001,570000.0,Personal,2019-05-14,701738,Salaried,Defaulted (NPA),57,31,88,9.75,18,1
1471,9571,121001,418000.0,Education,2019-01-31,772403,Self-Employed,Approved,56,34,90,15.65,120,0
1472,10539,121001,391000.0,Education,2024-08-07,472481,Salaried,Inquired,57,32,89,14.08,24,0
1473,4033,121001,332000.0,Home,2021-07-24,539634,Salaried,Ongoing,33,1,34,7.71,36,0
1474,2396,121001,661000.0,Education,2022-04-27,1912052,Business Owner,Closed,67,21,88,17.85,36,0
1475,4585,121001,160000.0,Personal,2021-03-25,910119,Self-Employed,Defaulted (NPA),2,0,2,9.83,6,1
1476,5364,121001,726000.0,Education,2021-04-02,2263949,Self-Employed,Closed,78,1,79,10.81,36,0
1477,233,121001,429000.0,MSME,2019-12-03,229521,Business Owner,Approved,43,0,43,10.84,72,0
1478,9896,121001,335000.0,MSME,2024-06-28,391614,Salaried,Ongoing,46,19,65,14.11,48,0
1479,280,121001,586000.0,Gold,2019-12-13,1886248,Business Owner,Closed,22,5,27,14.06,96,0
1480,6469,121001,602000.0,Personal,2022-01-04,1171550,Salaried,Closed,80,14,94,10.67,84,0
1481,4521,121001,674000.0,Personal,2024-05-04,4897986,Self-Employed,Ongoing,22,6,28,13.55,6,0
1482,2188,121001,467000.0,Personal,2024-04-07,1180456,Salaried,Rejected,23,7,30,8.46,96,0
1483,7801,121001,459000.0,Education,2019-02-20,742065,Salaried,Ongoing,73,12,85,11.66,48,0
1484,10738,121001,110000.0,Education,2022-04-19,573484,Student,Closed,76,0,76,18.41,6,0
1485,9553,121001,469000.0,Home,2022-12-21,270950,Salaried,Approved,24,7,31,16.49,60,0
1486,12046,121001,209000.0,Personal,2020-08-20,2701241,Retired,Rejected,78,15,93,10.84,36,0
1487,10261,121001,521000.0,MSME,2024-06-24,542478,Salaried,Ongoing,54,29,83,11.64,96,0
1488,7039,121001,546000.0,Education,2020-03-01,216120,Salaried,Approved,15,6,21,17.6,18,0
1489,6267,121001,473000.0,MSME,2020-09-18,229500,Salaried,Rejected,30,7,37,16.05,12,0
1490,9381,123413,690000.0,MSME,2020-11-04,1155509,Salaried,Closed,10,3,13,15.46,60,0
1491,3508,123413,247000.0,Personal,2019-06-15,2029422,Self-Employed,Approved,28,16,44,16.72,18,0
1492,4206,123413,215000.0,MSME,2022-06-26,849667,Self-Employed,Ongoing,3,0,3,7.75,60,0
1493,1237,123413,193000.0,Home,2020-06-25,330553,Salaried,Ongoing,37,4,41,8.68,96,0
1494,8018,123413,560000.0,Personal,2024-06-04,607305,Salaried,Approved,15,9,24,9.15,12,0
1495,3226,123413,623000.0,Home,2023-05-17,5486296,Salaried,Defaulted (NPA),26,3,29,9.7,18,1
1496,10845,123413,288000.0,Education,2019-09-08,217855,Salaried,Approved,65,4,69,16.67,12,0
1497,2751,123413,569000.0,MSME,2019-08-30,756991,Self-Employed,Approved,60,34,94,16.08,72,0
1498,1660,123413,516000.0,Personal,2020-10-05,659272,Self-Employed,Ongoing,88,7,95,7.95,60,0
1499,11995,123413,108000.0,Personal,2023-01-31,1071380,Salaried,Closed,34,15,49,9.53,96,0
1500,11865,123413,574000.0,Home,2021-07-15,1875869,Self-Employed,Approved,52,19,71,8.17,12,0
1501,4823,123413,367000.0,Education,2019-03-07,1003888,Student,Approved,68,15,83,10.77,60,0
1502,7368,123413,237000.0,Home,2020-06-03,252694,Salaried,Approved,47,19,66,14.05,24,0
1503,11191,123413,457000.0,MSME,2025-01-06,425148,Student,Rejected,84,1,85,15.74,96,0
1504,7226,123413,172000.0,Personal,2024-09-07,990468,Self-Employed,Ongoing,25,6,31,12.56,96,0
1505,10898,123413,575000.0,Personal,2019-06-22,2433121,Self-Employed,Defaulted (NPA),57,26,83,18.34,48,1
1506,7158,123413,439000.0,Education,2023-03-30,712397,Student,Closed,62,8,70,14.2,24,0
1507,3690,123413,434000.0,Personal,2024-04-13,275256,Self-Employed,Approved,59,7,66,14.88,72,0
1508,8166,123413,220000.0,Asset,2024-04-12,1044565,Salaried,Closed,40,11,51,14.28,60,0
1509,5441,123413,367000.0,Asset,2019-09-10,1054989,Salaried,Closed,3,0,3,10.2,120,0
1510,9647,123413,276000.0,Home,2019-09-02,516430,Retired,Closed,31,14,45,10.54,36,0
1511,9065,123413,274000.0,Personal,2021-10-15,1182491,Self-Employed,Rejected,26,7,33,17.16,48,0
1512,1451,123413,424000.0,Education,2022-10-11,456836,Salaried,Closed,71,10,81,9.36,120,0
1513,5125,123413,323000.0,Personal,2021-07-16,221986,Student,Approved,35,5,40,16.33,120,0
1514,9006,123413,247000.0,Personal,2022-03-01,1131900,Salaried,Ongoing,53,25,78,15.9,24,0
1515,10916,123413,691000.0,Home,2024-07-07,1000711,Salaried,Inquired,12,1,13,10.9,24,0
1516,9609,123413,347000.0,MSME,2024-03-30,479280,Salaried,Approved,5,0,5,9.59,24,0
1517,7978,123413,613000.0,Home,2022-07-04,605854,Salaried,Closed,7,2,9,10.17,48,0
1518,3937,123413,482000.0,MSME,2025-01-13,287365,Self-Employed,Approved,33,16,49,8.53,60,0
1519,11262,123413,234000.0,Home,2022-01-31,3891131,Retired,Ongoing,11,2,13,14.04,36,0
1520,1797,123413,452000.0,Personal,2019-11-02,228520,Salaried,Closed,56,6,62,9.94,12,0
1521,2555,123413,303000.0,Home,2020-03-18,1491008,Student,Closed,60,31,91,8.53,6,0
1522,757,123413,745000.0,Home,2019-07-15,677823,Salaried,Ongoing,47,10,57,14.48,12,0
1523,8563,123413,219000.0,Home,2020-03-23,481926,Salaried,Approved,39,3,42,15.74,48,0
1524,3329,123413,243000.0,Home,2020-09-20,307003,Self-Employed,Inquired,71,4,75,14.28,60,0
1525,8293,123413,688000.0,MSME,2024-12-01,755701,Self-Employed,Ongoing,4,0,4,11.47,72,0
1526,3727,123413,427000.0,Home,2023-09-23,309301,Salaried,Approved,29,9,38,13.99,96,0
1527,2473,123413,420000.0,Education,2023-06-06,455693,Retired,Rejected,23,0,23,7.89,24,0
1528,9542,123413,539000.0,Home,2024-07-18,5465132,Self-Employed,Ongoing,49,24,73,13.13,120,0
1529,642,123413,410000.0,Education,2020-07-02,509739,Salaried,Rejected,51,4,55,17.81,24,0
1530,10441,123413,220000.0,Home,2023-12-29,540988,Salaried,Closed,66,10,76,10.21,72,0
1531,6775,123413,303000.0,Home,2023-12-15,334468,Business Owner,Closed,80,18,98,8.23,18,0
1532,1223,123413,844000.0,Personal,2021-07-13,516368,Self-Employed,Inquired,63,4,67,11.51,60,0
1533,1428,123413,255000.0,Home,2019-01-29,4448933,Self-Employed,Approved,99,0,99,13.13,6,0
1534,11397,123413,229000.0,Home,2022-06-17,713418,Business Owner,Approved,54,33,87,16.23,72,0
1535,8075,123413,620000.0,Home,2019-07-24,1065669,Self-Employed,Ongoing,52,4,56,9.63,120,0
1536,5157,123413,210000.0,Home,2022-09-14,557229,Salaried,Closed,42,1,43,10.73,72,0
1537,10632,123413,607000.0,MSME,2022-03-07,237411,Student,Ongoing,67,11,78,13.17,120,0
1538,4517,123413,198000.0,Home,2020-05-13,522899,Salaried,Rejected,18,1,19,11.72,84,0
1539,664,123413,299000.0,Education,2021-09-03,253776,Salaried,Closed,66,1,67,9.47,12,0
1540,5954,123413,445000.0,Education,2022-08-08,1191240,Retired,Closed,57,15,72,10.91,60,0
1541,11625,123413,475000.0,Home,2024-04-23,281554,Self-Employed,Closed,31,17,48,8.18,72,0
1542,8864,123413,652000.0,Personal,2024-08-22,3189027,Business Owner,Approved,16,4,20,15.25,72,0
1543,3293,123413,550000.0,Education,2019-07-05,267260,Salaried,Ongoing,42,5,47,16.71,12,0
1544,4423,123413,755000.0,Home,2024-06-05,338277,Business Owner,Approved,58,10,68,10.94,36,0
1545,10497,123413,278000.0,Personal,2022-08-10,2394860,Salaried,Rejected,66,4,70,10.04,84,0
1546,936,123413,173000.0,Personal,2023-03-25,2904660,Business Owner,Closed,57,9,66,14.7,120,0
1547,11414,123413,385000.0,Asset,2024-07-17,1158823,Business Owner,Approved,30,18,48,18.09,96,0
1548,7207,123413,639000.0,Education,2023-06-25,722637,Salaried,Approved,16,10,26,14.69,6,0
1549,1795,123413,287000.0,MSME,2024-08-05,1119557,Student,Approved,82,3,85,12.73,48,0
1550,6382,123413,798000.0,Personal,2022-05-07,1024646,Self-Employed,Ongoing,11,0,11,16.66,72,0
1551,3184,123413,425000.0,Personal,2021-05-12,1910191,Salaried,Inquired,59,5,64,10.83,6,0
1552,4193,123413,399000.0,Home,2024-01-07,702775,Self-Employed,Approved,96,1,97,12.81,60,0
1553,11764,123413,293000.0,Personal,2021-04-01,729362,Self-Employed,Ongoing,32,19,51,9.96,48,0
1554,3590,123413,391000.0,Personal,2022-10-08,412777,Self-Employed,Approved,56,8,64,11.51,48,0
1555,5153,123413,504000.0,Gold,2021-03-22,354732,Salaried,Closed,60,12,72,12.83,12,0
1556,9933,123413,244000.0,Education,2022-12-01,569305,Salaried,Approved,75,19,94,12.99,60,0
1557,76,123413,364000.0,Gold,2021-11-26,4319078,Salaried,Ongoing,29,16,45,14.13,6,0
1558,8756,123413,532000.0,Personal,2022-11-26,5158505,Salaried,Ongoing,77,19,96,11.53,48,0
1559,3530,123413,363000.0,Personal,2022-08-23,256121,Salaried,Approved,42,4,46,16.67,96,0
1560,1782,123413,797000.0,MSME,2024-01-09,810477,Salaried,Closed,56,12,68,12.08,48,0
1561,2289,123413,725000.0,Asset,2020-05-26,400079,Business Owner,Approved,56,27,83,15.62,84,0
1562,10974,123413,142000.0,Asset,2024-11-30,558342,Self-Employed,Inquired,24,7,31,10.26,24,0
1563,9001,123413,558000.0,Home,2019-05-20,1045365,Salaried,Rejected,33,12,45,10.97,6,0
1564,9180,123413,173000.0,Home,2020-09-17,722254,Salaried,Rejected,66,17,83,9.41,96,0
1565,1112,123413,243000.0,Home,2020-02-18,443572,Salaried,Defaulted (NPA),60,4,64,12.87,12,1
1566,1055,123413,289000.0,Home,2024-11-13,749457,Self-Employed,Ongoing,9,0,9,10.16,18,0
1567,3675,123413,233000.0,Personal,2021-02-05,407497,Salaried,Inquired,3,1,4,9.88,120,0
1568,6679,123413,372000.0,Gold,2023-08-14,427565,Self-Employed,Closed,37,12,49,16.13,6,0
1569,3742,123413,561000.0,Home,2021-09-13,644269,Business Owner,Ongoing,12,5,17,7.87,120,0
1570,10641,123413,287000.0,Personal,2023-03-30,1013181,Self-Employed,Rejected,50,12,62,17.75,12,0
1571,4243,123413,315000.0,Education,2024-05-15,1092224,Self-Employed,Rejected,96,4,100,18.38,48,0
1572,59,123413,596000.0,Home,2019-01-30,1174590,Self-Employed,Ongoing,1,0,1,10.19,120,0
1573,11898,123413,180000.0,Education,2022-12-14,565995,Student,Approved,52,5,57,10.4,12,0
1574,9597,123413,147000.0,Personal,2022-01-22,495203,Student,Ongoing,11,2,13,9.6,120,0
1575,5826,123413,468000.0,MSME,2022-03-24,759317,Salaried,Closed,36,1,37,8.88,24,0
1576,7522,123413,391000.0,Home,2023-01-04,639415,Business Owner,Rejected,34,18,52,11.91,60,0
1577,8752,123413,189000.0,MSME,2022-05-30,446727,Retired,Ongoing,51,29,80,12.79,18,0
1578,8049,123413,508000.0,MSME,2022-03-26,1197241,Retired,Ongoing,36,14,50,14.8,6,0
1579,9648,123413,399000.0,Personal,2023-09-10,340545,Salaried,Ongoing,85,5,90,7.7,72,0
1580,1628,123413,435000.0,Home,2021-08-17,418110,Business Owner,Approved,38,5,43,12.83,12,0
1581,8001,123413,631000.0,Personal,2019-04-19,1171493,Self-Employed,Ongoing,26,9,35,14.45,96,0
1582,4597,123413,441000.0,Personal,2024-12-08,301379,Self-Employed,Closed,48,7,55,13.7,72,0
1583,11384,123413,580000.0,Personal,2024-09-12,432481,Salaried,Closed,3,0,3,16.28,12,0
1584,1890,123413,521000.0,Education,2019-09-09,426241,Self-Employed,Rejected,70,12,82,12.01,6,0
1585,3247,123413,580000.0,Home,2021-08-03,218196,Salaried,Ongoing,76,2,78,15.02,120,0
1586,8314,123413,467000.0,Personal,2020-09-23,390622,Retired,Inquired,24,5,29,16.56,36,0
1587,504,123413,561000.0,Personal,2020-01-14,1155180,Salaried,Approved,53,0,53,16.58,96,0
1588,3379,123414,329000.0,Personal,2021-07-04,2342976,Salaried,Approved,15,3,18,14.65,60,0
1589,9183,123414,271000.0,Gold,2020-04-20,1065453,Salaried,Ongoing,36,12,48,8.82,48,0
1590,2882,123414,221000.0,Personal,2023-07-29,1030131,Salaried,Ongoing,49,6,55,9.67,72,0
1591,9843,123414,510000.0,MSME,2019-09-17,280833,Self-Employed,Approved,33,19,52,14.61,36,0
1592,8172,123414,714000.0,Home,2023-05-03,319657,Salaried,Approved,37,24,61,8.18,6,0
1593,725,123414,180000.0,MSME,2021-11-03,1677701,Salaried,Ongoing,44,10,54,9.05,48,0
1594,6594,123414,165000.0,MSME,2019-10-26,5321570,Self-Employed,Inquired,39,3,42,17.72,12,0
1595,9151,123414,173000.0,Education,2021-10-30,1136670,Self-Employed,Rejected,64,30,94,15.91,120,0
1596,5131,123414,286000.0,Personal,2024-10-03,989044,Salaried,Closed,58,15,73,11.09,24,0
1597,2303,123414,493000.0,MSME,2020-12-29,742952,Self-Employed,Closed,38,9,47,11.8,6,0
1598,6075,123414,273000.0,Education,2021-10-09,514258,Student,Closed,33,18,51,13.66,120,0
1599,11476,123414,669000.0,Gold,2024-12-10,1057577,Salaried,Ongoing,27,7,34,9.4,48,0
1600,5235,123414,359000.0,Gold,2020-05-02,365208,Salaried,Ongoing,24,0,24,9.75,12,0
1601,4949,123414,806000.0,Personal,2020-07-03,681075,Self-Employed,Ongoing,37,10,47,8.25,6,0
1602,7699,123414,271000.0,Asset,2024-02-27,849771,Salaried,Closed,37,5,42,11.98,72,0
1603,280,123414,301000.0,MSME,2020-01-07,680556,Salaried,Approved,49,14,63,10.21,84,0
1604,11593,123414,280000.0,Personal,2023-05-27,3973679,Retired,Defaulted (NPA),53,4,57,16.79,18,1
1605,6724,123414,274000.0,Gold,2019-01-30,872348,Salaried,Approved,77,6,83,9.71,6,0
1606,7882,123414,528000.0,Home,2021-08-05,453887,Self-Employed,Closed,92,5,97,11.24,12,0
1607,4842,123414,409000.0,MSME,2021-10-31,228153,Salaried,Rejected,18,3,21,18.42,72,0
1608,316,123414,551000.0,MSME,2023-05-10,438182,Salaried,Closed,25,4,29,16.0,18,0
1609,8525,123414,579000.0,Personal,2023-07-25,948724,Student,Ongoing,72,17,89,11.29,84,0
1610,10677,123414,444000.0,Home,2019-09-02,1098901,Salaried,Approved,90,3,93,8.35,48,0
1611,2790,123414,722000.0,Gold,2019-11-26,207879,Salaried,Rejected,42,21,63,13.38,36,0
1612,390,123414,188000.0,Home,2024-04-01,1062294,Salaried,Ongoing,72,9,81,17.86,36,0
1613,8965,123414,481000.0,Gold,2023-06-25,616213,Salaried,Closed,56,2,58,8.85,36,0
1614,8296,123414,712000.0,Home,2021-10-31,267134,Self-Employed,Rejected,72,18,90,16.35,36,0
1615,949,123414,176000.0,Home,2021-11-05,916584,Business Owner,Approved,2,0,2,12.76,60,0
1616,3717,123414,215000.0,Home,2019-11-13,3060098,Self-Employed,Ongoing,31,18,49,8.78,120,0
1617,3894,123414,419000.0,Home,2023-03-27,538817,Business Owner,Closed,30,0,30,14.77,18,0
1618,6718,123414,830000.0,MSME,2022-03-17,599182,Salaried,Closed,64,27,91,13.31,96,0
1619,4127,123414,294000.0,Asset,2024-05-05,1147114,Salaried,Rejected,69,2,71,11.22,18,0
1620,9767,123414,540000.0,Gold,2024-08-26,363105,Salaried,Closed,37,5,42,10.89,60,0
1621,3833,123414,281000.0,Asset,2019-09-01,514890,Salaried,Inquired,10,2,12,13.39,12,0
1622,10832,123414,329000.0,MSME,2023-11-10,556247,Self-Employed,Approved,49,16,65,13.67,120,0
1623,4143,123414,240000.0,Personal,2022-02-25,711959,Business Owner,Approved,48,17,65,18.27,36,0
1624,4670,123414,507000.0,Personal,2021-11-18,277966,Retired,Closed,3,0,3,11.37,48,0
1625,6376,123414,665000.0,Education,2020-09-28,1239143,Salaried,Ongoing,51,27,78,8.18,24,0
1626,6446,123414,271000.0,MSME,2019-09-23,435447,Student,Closed,65,34,99,12.2,72,0
1627,10556,123414,294000.0,Personal,2022-01-08,582767,Salaried,Rejected,14,3,17,16.01,96,0
1628,9666,123414,185000.0,Home,2022-01-15,424909,Business Owner,Rejected,58,37,95,12.76,96,0
1629,9235,123414,469000.0,Personal,2022-01-18,686939,Student,Ongoing,50,14,64,13.62,60,0
1630,5276,123414,176000.0,Home,2019-07-22,3308113,Salaried,Ongoing,2,0,2,9.93,120,0
1631,3101,123414,370000.0,Home,2024-05-17,448053,Business Owner,Ongoing,21,9,30,9.8,24,0
1632,11819,123414,187000.0,Education,2021-02-21,645962,Salaried,Defaulted (NPA),13,3,16,9.43,72,1
1633,5621,123414,713000.0,Home,2024-06-21,320824,Salaried,Approved,40,13,53,13.6,18,0
1634,10853,123414,580000.0,Gold,2019-01-30,553078,Student,Ongoing,24,14,38,17.14,96,0
1635,713,123414,192000.0,Home,2022-02-02,1461721,Self-Employed,Approved,28,9,37,17.76,24,0
1636,10591,123414,352000.0,Personal,2022-10-05,555684,Salaried,Ongoing,50,9,59,13.42,36,0
1637,7629,123414,617000.0,MSME,2023-05-18,307790,Salaried,Closed,7,2,9,11.57,36,0
1638,10863,123414,712000.0,Gold,2024-06-17,338005,Salaried,Closed,72,26,98,10.42,48,0
1639,2525,123414,399000.0,Home,2023-03-07,2363650,Self-Employed,Approved,41,1,42,9.96,18,0
1640,4130,123414,792000.0,Personal,2024-09-09,561699,Business Owner,Closed,18,5,23,13.2,6,0
1641,7060,123414,126000.0,MSME,2020-05-20,474585,Business Owner,Closed,48,17,65,17.56,12,0
1642,10284,123414,456000.0,Asset,2019-09-14,454901,Salaried,Closed,8,4,12,8.53,24,0
1643,11665,123414,630000.0,Education,2019-02-01,980841,Self-Employed,Approved,60,4,64,9.23,18,0
1644,2622,123414,433000.0,MSME,2021-09-10,760119,Student,Closed,90,5,95,7.78,36,0
1645,3757,123414,765000.0,Asset,2019-11-04,2546682,Salaried,Ongoing,65,8,73,14.3,48,0
1646,6619,123414,345000.0,Education,2021-11-25,1052886,Salaried,Rejected,51,31,82,12.88,60,0
1647,2813,123414,527000.0,Education,2022-06-08,2270528,Salaried,Rejected,74,25,99,11.68,48,0
1648,6031,123414,524000.0,Personal,2022-05-08,2734279,Self-Employed,Ongoing,11,6,17,16.1,18,0
1649,4161,123414,339000.0,Home,2020-06-09,476441,Self-Employed,Closed,51,21,72,17.75,18,0
1650,1435,123414,650000.0,Personal,2021-09-22,692344,Self-Employed,Defaulted (NPA),44,10,54,10.42,48,1
1651,4949,123414,668000.0,Home,2023-06-21,998681,Business Owner,Approved,40,14,54,17.63,120,0
1652,5475,123414,329000.0,Asset,2020-11-26,1510138,Self-Employed,Ongoing,40,5,45,12.73,60,0
1653,12124,123414,537000.0,Home,2022-07-17,222128,Student,Closed,31,18,49,7.89,12,0
1654,11207,123414,691000.0,Home,2023-03-14,808215,Salaried,Ongoing,62,33,95,12.45,96,0
1655,11292,123414,245000.0,Home,2021-01-11,3970350,Self-Employed,Rejected,34,2,36,9.02,60,0
1656,11720,123414,204000.0,Personal,2023-11-19,419870,Salaried,Approved,4,2,6,11.76,24,0
1657,98,123414,155000.0,Home,2020-01-22,622674,Business Owner,Ongoing,8,1,9,11.59,24,0
1658,3180,123414,424000.0,Home,2019-05-04,4989796,Retired,Approved,17,8,25,11.65,24,0
1659,10337,123414,553000.0,MSME,2024-03-10,691560,Student,Closed,22,9,31,7.65,24,0
1660,5766,123414,234000.0,Asset,2023-08-27,837059,Student,Defaulted (NPA),20,9,29,16.95,12,1
1661,9434,123414,370000.0,Home,2022-03-27,703614,Self-Employed,Approved,8,2,10,9.48,48,0
1662,6940,123414,519000.0,Education,2020-05-26,336626,Salaried,Ongoing,69,17,86,11.24,6,0
1663,8612,123414,589000.0,MSME,2020-11-10,530293,Retired,Approved,62,12,74,14.96,120,0
1664,9625,123414,372000.0,Education,2024-02-09,3660417,Student,Rejected,26,15,41,9.51,120,0
1665,1564,123414,267000.0,Asset,2023-03-26,973490,Salaried,Rejected,58,25,83,13.29,6,0
1666,10032,123414,551000.0,MSME,2019-11-10,501211,Business Owner,Ongoing,39,20,59,16.38,12,0
1667,896,123414,186000.0,Gold,2024-12-13,691826,Salaried,Closed,40,9,49,9.76,48,0
1668,9379,123414,137000.0,Home,2019-11-21,4121295,Salaried,Closed,16,3,19,9.28,12,0
1669,4940,123415,342000.0,MSME,2019-08-23,830279,Salaried,Ongoing,7,2,9,15.98,120,0
1670,11800,123415,134000.0,MSME,2019-09-28,510747,Salaried,Ongoing,36,12,48,18.1,84,0
1671,1423,123415,361000.0,Personal,2019-04-11,343566,Self-Employed,Ongoing,90,4,94,11.18,96,0
1672,8664,123415,435000.0,Education,2019-05-23,1189932,Salaried,Ongoing,58,23,81,12.18,84,0
1673,3419,123415,472000.0,Personal,2019-11-17,1137299,Salaried,Closed,53,4,57,17.44,84,0
1674,2333,123415,452000.0,Home,2024-03-12,713333,Salaried,Defaulted (NPA),10,5,15,15.01,36,1
1675,11351,123415,719000.0,Home,2022-11-24,487271,Salaried,Closed,49,1,50,11.32,96,0
1676,3346,123415,215000.0,Home,2019-02-25,348220,Salaried,Inquired,47,17,64,13.64,36,0
1677,3815,123415,351000.0,Gold,2024-02-10,2857744,Retired,Approved,38,0,38,15.16,36,0
1678,6912,123415,448000.0,Gold,2021-12-07,828193,Salaried,Rejected,32,18,50,16.83,72,0
1679,1430,123415,712000.0,Home,2020-08-28,982151,Student,Closed,47,8,55,8.55,84,0
1680,3228,123415,474000.0,Home,2024-12-04,3224353,Salaried,Approved,67,21,88,12.47,84,0
1681,349,123415,579000.0,Personal,2023-05-27,1554734,Self-Employed,Closed,58,5,63,9.89,72,0
1682,1828,123415,570000.0,MSME,2022-03-13,405774,Salaried,Ongoing,1,0,1,8.67,18,0
1683,9856,123415,344000.0,Personal,2020-12-25,845455,Business Owner,Approved,83,11,94,17.88,72,0
1684,10791,123415,615000.0,MSME,2024-06-23,946775,Self-Employed,Closed,32,3,35,16.0,48,0
1685,11104,123415,512000.0,Gold,2024-12-24,907295,Self-Employed,Closed,36,0,36,7.6,6,0
1686,10491,123415,287000.0,Personal,2019-08-17,1051645,Business Owner,Approved,9,3,12,7.52,60,0
1687,9258,123415,296000.0,Home,2020-10-01,2516545,Salaried,Ongoing,12,4,16,11.58,120,0
1688,10877,123415,513000.0,Personal,2024-10-29,296348,Business Owner,Approved,77,12,89,8.86,60,0
1689,11848,123415,195000.0,MSME,2019-11-06,1195507,Self-Employed,Closed,57,2,59,10.81,36,0
1690,9038,123415,665000.0,Asset,2021-11-02,4286687,Salaried,Closed,37,18,55,16.15,96,0
1691,1425,123415,190000.0,Gold,2022-10-30,348170,Salaried,Approved,1,0,1,13.45,12,0
1692,4775,123415,621000.0,Home,2023-08-04,1179112,Salaried,Approved,64,18,82,17.39,18,0
1693,10956,123415,547000.0,Personal,2021-12-13,356006,Salaried,Closed,21,6,27,7.71,24,0
1694,7514,123415,277000.0,Home,2022-06-03,620817,Business Owner,Inquired,68,29,97,18.02,120,0
1695,1063,123415,261000.0,Personal,2021-02-04,1034654,Business Owner,Ongoing,11,3,14,13.15,84,0
1696,5080,123415,587000.0,Personal,2021-12-06,892141,Student,Approved,46,11,57,13.32,6,0
1697,6476,123415,496000.0,Home,2023-04-26,523689,Salaried,Defaulted (NPA),59,7,66,14.02,84,1
1698,10224,123415,367000.0,Personal,2021-01-22,3943335,Business Owner,Approved,45,22,67,9.99,24,0
1699,1704,123415,484000.0,Home,2022-04-12,755330,Salaried,Inquired,60,23,83,17.39,72,0
1700,9899,123415,508000.0,Personal,2024-04-02,378187,Student,Rejected,48,20,68,10.22,84,0
1701,9027,123415,388000.0,Personal,2019-05-18,334292,Salaried,Ongoing,18,1,19,12.56,72,0
1702,7703,123415,556000.0,Home,2024-06-12,3768501,Self-Employed,Closed,55,12,67,16.3,48,0
1703,11476,123415,298000.0,MSME,2021-06-04,4950063,Self-Employed,Ongoing,91,0,91,7.98,6,0
1704,1723,123415,455000.0,Home,2021-11-10,3046216,Salaried,Closed,31,8,39,16.2,72,0
1705,9033,123415,589000.0,Home,2024-10-15,583552,Salaried,Ongoing,4,1,5,12.64,12,0
1706,1754,123415,748000.0,Personal,2021-06-24,326197,Student,Closed,1,0,1,12.35,48,0
1707,3447,123415,368000.0,Education,2024-03-27,3150877,Salaried,Approved,27,5,32,16.6,6,0
1708,8384,123415,410000.0,Home,2022-03-07,1295276,Salaried,Approved,16,5,21,10.41,96,0
1709,594,123415,532000.0,Personal,2021-08-14,589824,Salaried,Ongoing,36,15,51,14.08,6,0
1710,1481,123415,405000.0,Education,2019-08-31,657219,Self-Employed,Approved,81,2,83,12.14,36,0
1711,12044,123415,690000.0,Home,2019-03-14,667162,Retired,Inquired,55,9,64,7.56,84,0
1712,3435,123415,514000.0,Personal,2023-03-18,694202,Salaried,Inquired,7,3,10,16.34,18,0
1713,8546,123415,316000.0,Home,2019-04-23,967565,Student,Closed,55,12,67,8.31,96,0
1714,1001,123415,508000.0,Personal,2019-09-18,579535,Self-Employed,Ongoing,62,26,88,14.54,48,0
1715,11140,123415,368000.0,Gold,2019-07-28,228818,Self-Employed,Approved,76,13,89,17.58,84,0
1716,1622,123415,325000.0,Home,2022-06-20,628748,Student,Closed,35,10,45,14.64,12,0
1717,11539,123415,635000.0,Personal,2019-10-05,620395,Salaried,Approved,9,2,11,13.97,72,0
1718,399,123415,498000.0,Asset,2022-06-12,412446,Business Owner,Inquired,5,0,5,11.17,72,0
1719,6098,123415,529000.0,MSME,2021-07-07,725634,Salaried,Rejected,38,9,47,13.81,84,0
1720,4292,123415,234000.0,Personal,2022-05-06,310123,Self-Employed,Approved,22,8,30,11.86,6,0
